run_id,scenario,is_attack,window_start_ns,request_rate,put_ratio,get_ratio,delete_ratio,reject_ratio,error_ratio,latency_mean_us,latency_p95_us,input_mean_bytes,input_max_bytes,cpu_percent_mean,rss_kb_mean
bursty-00,bursty,0,1784407254000000000,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,335781.3558,553002.6028,102.0,102.0,0.9890349287644675,1280.0
bursty-00,bursty,0,1784407257000000000,3.0,1.0,0.0,0.0,0.0,0.0,316415.37288888893,475628.4614,102.0,102.0,0.0,1280.0
bursty-00,bursty,0,1784407260000000000,3.6666666666666665,1.0,0.0,0.0,0.0,0.0,267008.09663636365,408936.391,102.0,102.0,0.32908448082047764,1280.0
bursty-00,bursty,0,1784407263000000000,3.0,1.0,0.0,0.0,0.0,0.0,298142.8964444444,502326.9953999999,102.0,102.0,0.0,1280.0
bursty-00,bursty,0,1784407266000000000,1.0,1.0,0.0,0.0,0.0,0.0,372947.2646666667,454328.4979,102.0,102.0,0.9936610338324641,1280.0
bursty-01,bursty,0,1784407269000000000,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,180754.729,180754.729,102.0,102.0,0.0,0.0
bursty-01,bursty,0,1784407272000000000,4.666666666666667,1.0,0.0,0.0,0.0,0.0,204457.55164285717,236008.283,102.0,102.0,0.3306653182187896,1280.0
bursty-01,bursty,0,1784407275000000000,4.0,1.0,0.0,0.0,0.0,0.0,240094.64275,346625.1856499999,102.0,102.0,0.3310108381567935,1280.0
bursty-01,bursty,0,1784407278000000000,4.0,1.0,0.0,0.0,0.0,0.0,233012.37891666664,296137.7175,102.0,102.0,0.0,1280.0
bursty-01,bursty,0,1784407281000000000,3.0,1.0,0.0,0.0,0.0,0.0,302807.4202222222,404505.04319999996,102.0,102.0,0.49607857673524447,1280.0
bursty-02,bursty,0,1784407287000000000,2.0,1.0,0.0,0.0,0.0,0.0,228654.87166666667,259681.69225,102.0,102.0,0.0,1280.0
bursty-02,bursty,0,1784407290000000000,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,289376.65129999997,363518.61665,102.0,102.0,0.3307636385636596,1280.0
bursty-02,bursty,0,1784407293000000000,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,274753.4321,316892.3923,102.0,102.0,0.3295740723834689,1280.0
bursty-02,bursty,0,1784407296000000000,4.0,1.0,0.0,0.0,0.0,0.0,255552.30925000002,315075.0139,102.0,102.0,0.33031567077207064,1280.0
bursty-02,bursty,0,1784407299000000000,2.0,1.0,0.0,0.0,0.0,0.0,222173.52566666668,246790.11025,102.0,102.0,0.0,1280.0
error_storm-00,error_storm,1,1784407458000000000,4.0,0.0,1.0,0.0,0.0,1.0,242749.8824166667,303442.03630000004,13.0,13.0,0.495274383058196,1280.0
error_storm-00,error_storm,1,1784407461000000000,4.666666666666667,0.0,1.0,0.0,0.0,1.0,213713.08007142856,275456.5755,13.0,13.0,0.32768753692827596,1280.0
error_storm-00,error_storm,1,1784407464000000000,4.666666666666667,0.0,1.0,0.0,0.0,1.0,210629.33564285716,230098.3529,13.0,13.0,0.3274115265077953,1280.0
error_storm-00,error_storm,1,1784407467000000000,4.666666666666667,0.0,1.0,0.0,0.0,1.0,210443.47842857143,232454.97225,13.0,13.0,0.3305384492790701,1280.0
error_storm-01,error_storm,1,1784407473000000000,1.3333333333333333,0.0,1.0,0.0,0.0,1.0,244997.2625,276691.06705,13.0,13.0,0.0,1280.0
error_storm-01,error_storm,1,1784407476000000000,3.6666666666666665,0.0,1.0,0.0,0.0,1.0,262207.59563636367,291586.17799999996,13.0,13.0,0.6583072151839536,1280.0
error_storm-01,error_storm,1,1784407479000000000,4.666666666666667,0.0,1.0,0.0,0.0,1.0,223294.10985714287,268354.7448,13.0,13.0,0.0,1280.0
error_storm-01,error_storm,1,1784407482000000000,3.6666666666666665,0.0,1.0,0.0,0.0,1.0,258295.52909090908,286762.4475,13.0,13.0,0.3304007082112748,1280.0
error_storm-01,error_storm,1,1784407485000000000,2.3333333333333335,0.0,1.0,0.0,0.0,1.0,286209.611,314034.63230000006,13.0,13.0,0.9886435992717058,1280.0
error_storm-02,error_storm,1,1784407491000000000,3.6666666666666665,0.0,1.0,0.0,0.0,1.0,224000.61500000002,243326.606,13.0,13.0,0.0,1268.0
error_storm-02,error_storm,1,1784407494000000000,4.666666666666667,0.0,1.0,0.0,0.0,1.0,218289.00614285716,247938.85335000002,13.0,13.0,0.6625212495939152,1268.0
error_storm-02,error_storm,1,1784407497000000000,4.666666666666667,0.0,1.0,0.0,0.0,1.0,203099.9202857143,230114.44825,13.0,13.0,0.0,1268.0
error_storm-02,error_storm,1,1784407500000000000,5.333333333333333,0.0,1.0,0.0,0.0,1.0,194203.61693750002,218500.4,13.0,13.0,0.3300994944897934,1268.0
error_storm-02,error_storm,1,1784407503000000000,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,207532.39049999998,207840.90105,13.0,13.0,0.0,0.0
flood-00,flood,1,1784407356000000000,4.333333333333333,1.0,0.0,0.0,0.0,0.0,211453.03653846154,236362.2156,38.0,38.0,0.0,1216.0
flood-00,flood,1,1784407359000000000,4.333333333333333,1.0,0.0,0.0,0.0,0.0,224305.14169230772,257685.37039999999,38.0,38.0,0.3312766683929494,1216.0
flood-00,flood,1,1784407362000000000,4.0,1.0,0.0,0.0,0.0,0.0,250797.67533333332,295863.38015,38.0,38.0,0.3317278244031297,1216.0
flood-00,flood,1,1784407365000000000,4.666666666666667,1.0,0.0,0.0,0.0,0.0,219934.60757142858,255430.0118,38.0,38.0,0.3291310025167022,1216.0
flood-00,flood,1,1784407368000000000,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,231526.915,231526.915,38.0,38.0,0.0,0.0
flood-01,flood,1,1784407371000000000,1.0,1.0,0.0,0.0,0.0,0.0,240756.084,261725.79809999999,38.0,38.0,0.0,0.0
flood-01,flood,1,1784407374000000000,4.333333333333333,1.0,0.0,0.0,0.0,0.0,226419.9563076923,281302.058,38.0,38.0,0.0,1220.0
flood-01,flood,1,1784407377000000000,4.333333333333333,1.0,0.0,0.0,0.0,0.0,238487.62592307694,306552.03579999995,38.0,38.0,0.3307461456957648,1220.0
flood-01,flood,1,1784407380000000000,4.333333333333333,1.0,0.0,0.0,0.0,0.0,225847.26484615385,250489.39639999997,38.0,38.0,0.32977268531364995,1220.0
flood-01,flood,1,1784407383000000000,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,282465.618875,356053.17085,38.0,38.0,0.49387503100794383,1220.0
flood-02,flood,1,1784407389000000000,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,270694.1827142857,291238.7195,38.0,38.0,0.0,1208.0
flood-02,flood,1,1784407392000000000,4.0,1.0,0.0,0.0,0.0,0.0,245111.47508333332,265558.4903,38.0,38.0,0.0,1208.0
flood-02,flood,1,1784407395000000000,4.333333333333333,1.0,0.0,0.0,0.0,0.0,232566.34115384615,262757.35,38.0,38.0,0.6584313005114081,1208.0
flood-02,flood,1,1784407398000000000,3.0,1.0,0.0,0.0,0.0,0.0,320094.4087777778,413478.6298,38.0,38.0,0.0,1208.0
flood-02,flood,1,1784407401000000000,1.0,1.0,0.0,0.0,0.0,0.0,404786.509,466914.2876999999,38.0,38.0,0.0,1208.0
large_value-00,large_value,0,1784407305000000000,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,271146.323875,337043.7624,3078.0,3078.0,0.49402414804856387,1272.0
