run_id,scenario,is_attack,window_start_ns,request_rate,put_ratio,get_ratio,delete_ratio,reject_ratio,error_ratio,latency_mean_us,latency_p95_us,input_mean_bytes,input_max_bytes,cpu_percent_mean,rss_kb_mean
large_value-00,large_value,0,1784407305000000000,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,271146.323875,337043.7624,3078.0,3078.0,0.49402414804856387,1272.0
large_value-00,large_value,0,1784407308000000000,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,288406.88169999997,364669.4915,3078.0,3078.0,0.3292107697413367,1272.0
large_value-00,large_value,0,1784407311000000000,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,340032.82575,393019.23775,3078.0,3078.0,0.0,1272.0
large_value-00,large_value,0,1784407314000000000,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,290395.3625,340627.05384999997,3078.0,3078.0,0.3298267965668001,1272.0
large_value-00,large_value,0,1784407317000000000,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,335386.076,335386.076,3078.0,3078.0,0.0,0.0
large_value-01,large_value,0,1784407320000000000,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,247014.158,281891.9993,3078.0,3078.0,0.0,0.0
large_value-01,large_value,0,1784407323000000000,3.6666666666666665,1.0,0.0,0.0,0.0,0.0,266238.555,310354.92850000004,3078.0,3078.0,0.3303699430258367,1280.0
large_value-01,large_value,0,1784407326000000000,4.0,1.0,0.0,0.0,0.0,0.0,235953.45375,291880.90304999996,3078.0,3078.0,0.32994439167044387,1280.0
large_value-01,large_value,0,1784407329000000000,3.6666666666666665,1.0,0.0,0.0,0.0,0.0,235913.61754545456,270749.0545,3078.0,3078.0,0.6617746876611375,1280.0
large_value-01,large_value,0,1784407332000000000,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,239319.68670000002,310792.6238499999,3078.0,3078.0,0.4946184053428221,1280.0
steady-00,steady,0,1784407203000000000,2.0,0.16666666666666666,0.5,0.3333333333333333,0.0,0.8333333333333334,198510.213,315821.58125,16.666666666666668,70.0,0.0,1280.0
steady-00,steady,0,1784407206000000000,5.333333333333333,0.25,0.5,0.25,0.0,0.5625,174185.7155,283538.17374999996,22.0,70.0,0.6598914821493475,1280.0
steady-00,steady,0,1784407209000000000,5.666666666666667,0.29411764705882354,0.47058823529411764,0.23529411764705882,0.0,0.5294117647058824,177637.8612352941,286406.0248,24.823529411764707,70.0,0.3304833179060416,1280.0
steady-00,steady,0,1784407212000000000,4.666666666666667,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.0,0.5714285714285714,186847.81385714284,319865.63725,19.714285714285715,70.0,0.33106955552756406,1280.0
steady-00,steady,0,1784407215000000000,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,251618.83833333335,302084.451,27.333333333333332,70.0,0.9896719635091162,1280.0
steady-01,steady,0,1784407221000000000,4.0,0.25,0.5,0.25,0.0,0.4166666666666667,226933.4250833333,371870.00055,22.0,70.0,0.32999641061914176,1280.0
steady-01,steady,0,1784407224000000000,4.666666666666667,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5714285714285714,202316.63007142858,330650.42745,24.285714285714285,70.0,0.33177032154547215,1280.0
steady-01,steady,0,1784407227000000000,3.6666666666666665,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.0,0.7272727272727273,237856.07527272726,461945.9455,17.636363636363637,70.0,0.4934383174539718,1280.0
steady-01,steady,0,1784407230000000000,5.0,0.26666666666666666,0.5333333333333333,0.2,0.0,0.4666666666666667,205958.90113333333,356337.19169999985,23.066666666666666,70.0,0.0,1280.0
steady-02,steady,0,1784407236000000000,1.3333333333333333,0.25,0.5,0.25,0.0,0.0,218334.63775,319062.4327499999,22.0,70.0,0.9931385507510891,1284.0
steady-02,steady,0,1784407239000000000,4.333333333333333,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.0,0.3076923076923077,218971.41776923076,422896.8141999999,20.76923076923077,70.0,0.3307978150542324,1284.0
steady-02,steady,0,1784407242000000000,4.333333333333333,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.0,0.38461538461538464,218557.055,340464.8301999999,20.76923076923077,70.0,0.33086826943597375,1284.0
steady-02,steady,0,1784407245000000000,4.333333333333333,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.0,0.38461538461538464,225770.99599999998,344946.1808,25.692307692307693,70.0,0.3315989438545784,1284.0
steady-02,steady,0,1784407248000000000,2.6666666666666665,0.25,0.5,0.25,0.0,0.75,207151.04875,346941.39794999996,22.0,70.0,0.0,1284.0
