run_id,scenario,is_attack,window_start_ns,request_rate,put_ratio,get_ratio,delete_ratio,reject_ratio,error_ratio,latency_mean_us,latency_p95_us,input_mean_bytes,input_max_bytes,cpu_percent_mean,rss_kb_mean,key_reuse_ratio,request_reuse_ratio,operation_transition_ratio,idle_mean_us,idle_p95_us,idle_cv
bursty-00,bursty,0,1786521740000000000,2.2,1.0,0.0,0.0,0.0,0.0,228536.07136363638,339233.132,102.0,102.0,0.49749956222526026,1280.0,0.2727272727272727,0.2727272727272727,0.0,9067.9343,45855.49289999992,2.6585940371402077
bursty-00,bursty,0,1786521745000000000,5.4,1.0,0.0,0.0,0.0,0.0,172241.36162962962,198854.8222,102.0,102.0,0.19820657556875085,1280.0,0.37037037037037035,0.37037037037037035,0.0,10149.915653846152,81118.91475,2.5279568215966157
bursty-00,bursty,0,1786521750000000000,5.6,1.0,0.0,0.0,0.0,0.0,166541.77089285714,181409.86065,102.0,102.0,0.19885512561847812,1280.0,0.1785714285714286,0.1785714285714286,0.0,9878.977925925925,81806.7833,2.575717554094459
bursty-00,bursty,0,1786521755000000000,5.4,1.0,0.0,0.0,0.0,0.0,174486.94851851853,196975.8953,102.0,102.0,0.3974142279998651,1280.0,0.11111111111111116,0.11111111111111116,0.0,13443.584692307692,82304.88775000001,2.174200693238749
bursty-00,bursty,0,1786521760000000000,5.8,1.0,0.0,0.0,0.0,0.0,164616.81613793102,181324.67440000002,102.0,102.0,0.3981876499473775,1280.0,0.2068965517241379,0.2068965517241379,0.0,9494.845321428571,81368.01425000001,2.6320906302356675
bursty-00,bursty,0,1786521765000000000,5.2,1.0,0.0,0.0,0.0,0.0,173997.93719230767,196899.82724999997,102.0,102.0,0.1990068925211346,1280.0,0.42307692307692313,0.42307692307692313,0.0,13725.39276,81256.383,2.146943608430295
bursty-00,bursty,0,1786521770000000000,5.4,1.0,0.0,0.0,0.0,0.0,179904.69240740742,214436.7077,102.0,102.0,0.3969736114791206,1280.0,0.2592592592592593,0.2592592592592593,0.0,10197.5355,81101.50575,2.5103732330514137
bursty-00,bursty,0,1786521775000000000,5.6,1.0,0.0,0.0,0.0,0.0,169575.22642857142,197909.91945,102.0,102.0,0.19918487176557628,1280.0,0.25,0.25,0.0,9892.13262962963,81218.4836,2.5568379831454937
bursty-00,bursty,0,1786521780000000000,5.2,1.0,0.0,0.0,0.0,0.0,177115.08146153844,213078.56874999998,102.0,102.0,0.3976212365258821,1280.0,0.3076923076923077,0.3076923076923077,0.0,10507.070160000001,81209.12,2.4880470568137008
bursty-00,bursty,0,1786521785000000000,5.2,1.0,0.0,0.0,0.0,0.0,179370.30573076924,209962.55474999998,102.0,102.0,0.39790770445441825,1280.0,0.3076923076923077,0.3076923076923077,0.0,10502.782360000001,81206.292,2.49116782964821
bursty-00,bursty,0,1786521790000000000,2.6,1.0,0.0,0.0,0.0,0.0,171253.72253846156,197283.574,102.0,102.0,0.4981374148901218,1280.0,0.0,0.0,0.0,14472.735333333332,81980.57495,2.0873259502744905
bursty-01,bursty,0,1786521800000000000,1.0,1.0,0.0,0.0,0.0,0.0,182927.8914,209798.9522,102.0,102.0,0.0,1280.0,0.0,0.0,0.0,21259.11725,70080.29759999996,1.6570458879844627
bursty-01,bursty,0,1786521805000000000,5.6,1.0,0.0,0.0,0.0,0.0,169968.9689285714,197535.27875,102.0,102.0,0.3973712822496955,1280.0,0.0714285714285714,0.0714285714285714,0.0,9748.04459259259,80984.8519,2.5884625000935704
bursty-01,bursty,0,1786521810000000000,5.2,1.0,0.0,0.0,0.0,0.0,178101.08815384615,197600.0925,102.0,102.0,0.1989041655454149,1280.0,0.3076923076923077,0.3076923076923077,0.0,10593.727879999999,81292.787,2.4678826739965283
bursty-01,bursty,0,1786521815000000000,5.2,1.0,0.0,0.0,0.0,0.0,180888.7891923077,214466.09475,102.0,102.0,0.4960307565939682,1280.0,0.23076923076923073,0.23076923076923073,0.0,10475.72436,81359.3222,2.5039336158586143
bursty-01,bursty,0,1786521820000000000,5.4,1.0,0.0,0.0,0.0,0.0,176957.00540740739,204972.51170000003,102.0,102.0,0.1983693035531866,1280.0,0.07407407407407407,0.07407407407407407,0.0,10472.29303846154,81773.06175,2.461479448355163
bursty-01,bursty,0,1786521825000000000,5.4,1.0,0.0,0.0,0.0,0.0,175316.98796296294,199068.5698,102.0,102.0,0.3978112657918261,1280.0,0.11111111111111116,0.11111111111111116,0.0,10329.058230769231,82083.418,2.5250070437081957
bursty-01,bursty,0,1786521830000000000,5.4,1.0,0.0,0.0,0.0,0.0,175387.4094074074,199893.20830000003,102.0,102.0,0.1989933549024685,1280.0,0.18518518518518523,0.18518518518518523,0.0,10188.451115384614,81176.55025,2.5347985884425657
bursty-01,bursty,0,1786521835000000000,5.6,1.0,0.0,0.0,0.0,0.0,166693.75178571427,193885.6753,102.0,102.0,0.39659369047846244,1280.0,0.2142857142857143,0.2142857142857143,0.0,9850.70014814815,81250.5822,2.5716591810867504
bursty-01,bursty,0,1786521840000000000,5.6,1.0,0.0,0.0,0.0,0.0,164970.80857142856,196485.2669,102.0,102.0,0.39734834310710954,1280.0,0.1428571428571429,0.1428571428571429,0.0,12797.807999999999,82022.4517,2.247596231665294
bursty-01,bursty,0,1786521845000000000,5.6,1.0,0.0,0.0,0.0,0.0,168513.01689285715,191260.13900000002,102.0,102.0,0.19894603068176525,1280.0,0.1071428571428571,0.1071428571428571,0.0,9814.843740740742,81183.85750000001,2.5793581347174226
bursty-01,bursty,0,1786521850000000000,4.4,1.0,0.0,0.0,0.0,0.0,170597.74113636365,195257.3077,102.0,102.0,0.24883904417662345,1280.0,0.0,0.0,0.0,12368.370380952381,81184.164,2.280803713124973
bursty-02,bursty,0,1786521865000000000,5.4,1.0,0.0,0.0,0.0,0.0,156832.58866666668,178323.9923,102.0,102.0,0.24891654741589309,1268.0,0.33333333333333337,0.33333333333333337,0.0,10286.484076923078,82236.035,2.5577992791278996
bursty-02,bursty,0,1786521870000000000,5.8,1.0,0.0,0.0,0.0,0.0,157516.91403448276,177374.6238,102.0,102.0,0.39732403426865565,1268.0,0.13793103448275867,0.13793103448275867,0.0,12475.175642857143,82470.72284999999,2.291132059583934
bursty-02,bursty,0,1786521875000000000,5.8,1.0,0.0,0.0,0.0,0.0,163563.89668965517,188014.30559999996,102.0,102.0,0.19918066515518684,1268.0,0.1724137931034483,0.1724137931034483,0.0,9576.444642857143,82238.6305,2.631674718150897
bursty-02,bursty,0,1786521880000000000,6.0,1.0,0.0,0.0,0.0,0.0,156789.73386666665,177697.7627,102.0,102.0,0.5961372174170722,1268.0,0.33333333333333337,0.33333333333333337,0.0,9121.386275862069,81398.2362,2.6960869475817892
bursty-02,bursty,0,1786521885000000000,5.6,1.0,0.0,0.0,0.0,0.0,164969.0245,187370.99455,102.0,102.0,0.19924628656451912,1268.0,0.25,0.25,0.0,12921.23725925926,82151.9626,2.2265843001191032
bursty-02,bursty,0,1786521890000000000,5.8,1.0,0.0,0.0,0.0,0.0,165996.97213793104,183440.3144,102.0,102.0,0.39699490144405425,1268.0,0.48275862068965514,0.48275862068965514,0.0,9543.273535714285,81590.92800000001,2.6169723936362184
bursty-02,bursty,0,1786521895000000000,5.4,1.0,0.0,0.0,0.0,0.0,169046.13362962962,191197.1137,102.0,102.0,0.19914638689307698,1268.0,0.33333333333333337,0.33333333333333337,0.0,13296.728115384614,81668.26475,2.1932837209406606
bursty-02,bursty,0,1786521900000000000,6.0,1.0,0.0,0.0,0.0,0.0,160507.9774,184256.4743,102.0,102.0,0.397732625983992,1268.0,0.30000000000000004,0.30000000000000004,0.0,9160.914655172415,81129.6752,2.6693280372074315
bursty-02,bursty,0,1786521905000000000,5.8,1.0,0.0,0.0,0.0,0.0,159053.5255172414,175912.34739999997,102.0,102.0,0.3981961722783075,1268.0,0.3448275862068966,0.3448275862068966,0.0,9692.631464285714,82479.1335,2.6035456156043715
bursty-02,bursty,0,1786521910000000000,5.6,1.0,0.0,0.0,0.0,0.0,167102.8587142857,195840.27375,102.0,102.0,0.19936710036773025,1268.0,0.5357142857142857,0.5357142857142857,0.0,12870.548666666667,81677.81270000001,2.2433668976646106
bursty-02,bursty,0,1786521915000000000,0.4,1.0,0.0,0.0,0.0,0.0,182837.4815,184564.11935,102.0,102.0,0.0,0.0,0.0,0.0,0.0,747.273,747.273,0.0
bursty-03,bursty,0,1786521925000000000,3.2,1.0,0.0,0.0,0.0,0.0,173256.3955625,198071.38950000002,102.0,102.0,0.3298359475487356,1280.0,0.4375,0.4375,0.0,11711.701866666666,81878.5349,2.3609044028697945
bursty-03,bursty,0,1786521930000000000,5.8,1.0,0.0,0.0,0.0,0.0,162666.4115172414,184978.454,102.0,102.0,0.4969016413690795,1280.0,0.10344827586206895,0.10344827586206895,0.0,9577.823607142856,82202.6813,2.6346169068774383
bursty-03,bursty,0,1786521935000000000,5.6,1.0,0.0,0.0,0.0,0.0,167554.06307142857,184488.9896,102.0,102.0,0.19914166755019186,1280.0,0.3928571428571429,0.3928571428571429,0.0,13057.745777777778,82713.69810000001,2.226378371715597
bursty-03,bursty,0,1786521940000000000,5.6,1.0,0.0,0.0,0.0,0.0,169403.27614285712,210080.9171,102.0,102.0,0.3952047061461254,1280.0,0.2142857142857143,0.2142857142857143,0.0,9922.217444444444,81911.3964,2.5806166353600952
bursty-03,bursty,0,1786521945000000000,4.6,1.0,0.0,0.0,0.0,0.0,205824.80386956522,271978.83359999995,102.0,102.0,0.197973539288321,1280.0,0.3913043478260869,0.3913043478260869,0.0,12214.610363636364,84231.96979999999,2.3192771406814034
bursty-03,bursty,0,1786521950000000000,4.6,1.0,0.0,0.0,0.0,0.0,200670.55504347826,261378.0978,102.0,102.0,0.39763554547540303,1280.0,0.4347826086956522,0.4347826086956522,0.0,12119.203136363636,81129.28655,2.300977117050073
bursty-03,bursty,0,1786521955000000000,5.4,1.0,0.0,0.0,0.0,0.0,179296.9028888889,216595.6488,102.0,102.0,0.19899760112471296,1280.0,0.03703703703703709,0.03703703703703709,0.0,10313.156653846152,81530.75675,2.517495369493562
bursty-03,bursty,0,1786521960000000000,5.0,1.0,0.0,0.0,0.0,0.0,187519.04348000002,216875.5984,102.0,102.0,0.3963281290472029,1280.0,0.43999999999999995,0.43999999999999995,0.0,11051.216416666668,81132.14335,2.4128288701652614
bursty-03,bursty,0,1786521965000000000,5.6,1.0,0.0,0.0,0.0,0.0,165570.16974999997,191288.3589,102.0,102.0,0.19902770349400462,1280.0,0.25,0.25,0.0,9727.855259259259,80960.8933,2.6032815061784214
bursty-03,bursty,0,1786521970000000000,5.6,1.0,0.0,0.0,0.0,0.0,168343.37364285716,197442.71585,102.0,102.0,0.3981278157639985,1280.0,0.5,0.5,0.0,12739.735333333332,81116.9246,2.2435789970954887
bursty-03,bursty,0,1786521975000000000,2.0,1.0,0.0,0.0,0.0,0.0,192608.31939999998,225253.22405,102.0,102.0,0.4966160754434907,1280.0,0.30000000000000004,0.30000000000000004,0.0,9863.589555555554,49229.732399999964,2.5503196288645835
bursty-04,bursty,0,1786521985000000000,1.6,1.0,0.0,0.0,0.0,0.0,184702.129875,205415.95515,102.0,102.0,0.0,1280.0,0.0,0.0,0.0,12399.034,57195.17029999994,2.2664300843438943
bursty-04,bursty,0,1786521990000000000,5.0,1.0,0.0,0.0,0.0,0.0,190364.86716000002,218182.8002,102.0,102.0,0.39788751443091863,1280.0,0.28,0.28,0.0,11002.258041666666,81334.49424999999,2.416866293482957
bursty-04,bursty,0,1786521995000000000,5.0,1.0,0.0,0.0,0.0,0.0,188914.5196,217818.83999999997,102.0,102.0,0.3976913975103063,1280.0,0.12,0.12,0.0,10911.226958333333,81107.94154999999,2.433002424530535
bursty-04,bursty,0,1786522000000000000,5.0,1.0,0.0,0.0,0.0,0.0,187837.9848,215606.58519999997,102.0,102.0,0.19835430746987684,1280.0,0.36,0.36,0.0,10943.532458333333,81207.04295,2.430326266330218
bursty-04,bursty,0,1786522005000000000,5.0,1.0,0.0,0.0,0.0,0.0,190684.11943999998,212757.7704,102.0,102.0,0.19918667162066492,1280.0,0.48,0.48,0.0,10991.200458333333,81054.63165,2.4143483326214072
bursty-04,bursty,0,1786522010000000000,5.0,1.0,0.0,0.0,0.0,0.0,188419.33712,208123.016,102.0,102.0,0.397518630815269,1280.0,0.36,0.36,0.0,11047.890708333332,81282.74590000001,2.4030044434356133
bursty-04,bursty,0,1786522015000000000,5.0,1.0,0.0,0.0,0.0,0.0,187123.03156,223165.90279999998,102.0,102.0,0.19861609982065426,1280.0,0.24,0.24,0.0,10947.0555,81060.183,2.4252070848123743
bursty-04,bursty,0,1786522020000000000,4.8,1.0,0.0,0.0,0.0,0.0,192014.56591666667,216433.6101,102.0,102.0,0.3956968908832021,1280.0,0.0,0.0,0.0,7963.2773043478255,73232.85239999989,2.8325525399869766
bursty-04,bursty,0,1786522025000000000,5.2,1.0,0.0,0.0,0.0,0.0,187360.89988461538,208126.38975,102.0,102.0,0.19918008117126093,1280.0,0.3076923076923077,0.3076923076923077,0.0,10571.65368,81014.8144,2.461073455861474
bursty-04,bursty,0,1786522030000000000,5.0,1.0,0.0,0.0,0.0,0.0,185385.556,213422.8074,102.0,102.0,0.39820790711251414,1280.0,0.040000000000000036,0.040000000000000036,0.0,10954.9165,81031.64025,2.4150978763080357
bursty-04,bursty,0,1786522035000000000,3.8,1.0,0.0,0.0,0.0,0.0,182450.96810526316,201474.80489999996,102.0,102.0,0.3299419501023833,1280.0,0.4736842105263158,0.4736842105263158,0.0,10023.653333333334,81031.14215000001,2.505912089226142
bursty-05,bursty,0,1786522050000000000,4.6,1.0,0.0,0.0,0.0,0.0,194365.43939130433,230552.78489999997,102.0,102.0,0.0,1280.0,0.04347826086956519,0.04347826086956519,0.0,12103.207636363637,81368.8325,2.275638273689562
bursty-05,bursty,0,1786522055000000000,4.8,1.0,0.0,0.0,0.0,0.0,194225.58533333335,224861.04675,102.0,102.0,0.5962243192980956,1280.0,0.375,0.375,0.0,11455.283608695652,81432.246,2.364112170052087
bursty-05,bursty,0,1786522060000000000,4.8,1.0,0.0,0.0,0.0,0.0,193054.61854166666,228525.186,102.0,102.0,0.198854640027191,1280.0,0.125,0.125,0.0,11507.18,81242.5194,2.3485977967411236
bursty-05,bursty,0,1786522065000000000,4.8,1.0,0.0,0.0,0.0,0.0,204048.27895833334,241332.94795,102.0,102.0,0.19847841386729775,1280.0,0.16666666666666663,0.16666666666666663,0.0,11876.02052173913,81550.6093,2.2794724181176513
bursty-05,bursty,0,1786522070000000000,4.8,1.0,0.0,0.0,0.0,0.0,193999.56658333333,231234.78499999997,102.0,102.0,0.19907090285155102,1280.0,0.04166666666666663,0.04166666666666663,0.0,11328.690217391302,80999.5893,2.383665012830788
bursty-05,bursty,0,1786522075000000000,5.2,1.0,0.0,0.0,0.0,0.0,186004.61373076926,209399.73975,102.0,102.0,0.5962292057428427,1280.0,0.1923076923076923,0.1923076923076923,0.0,10549.309280000001,81271.7444,2.479062900503775
