run_id,scenario,is_attack,window_start_ns,request_rate,put_ratio,get_ratio,delete_ratio,reject_ratio,error_ratio,latency_mean_us,latency_p95_us,input_mean_bytes,input_max_bytes,cpu_percent_mean,rss_kb_mean
bursty-01,bursty,0,1784489990000000000,1.8,1.0,0.0,0.0,0.0,0.0,180091.52377777777,205877.7404,102.0,102.0,0.0,1280.0
bursty-01,bursty,0,1784489995000000000,5.2,1.0,0.0,0.0,0.0,0.0,179047.64838461537,213174.5115,102.0,102.0,0.5911019273902948,1280.0
bursty-01,bursty,0,1784490000000000000,5.0,1.0,0.0,0.0,0.0,0.0,193326.23260000002,212770.7448,102.0,102.0,0.1990567851490572,1280.0
bursty-01,bursty,0,1784490005000000000,4.8,1.0,0.0,0.0,0.0,0.0,196642.0450416667,223976.1028,102.0,102.0,0.39840442020521144,1280.0
bursty-01,bursty,0,1784490010000000000,4.4,1.0,0.0,0.0,0.0,0.0,217422.20468181817,280449.70384999993,102.0,102.0,0.1989298637604459,1280.0
bursty-01,bursty,0,1784490015000000000,5.0,1.0,0.0,0.0,0.0,0.0,185576.75272,207696.48619999998,102.0,102.0,0.39812956151256906,1280.0
bursty-01,bursty,0,1784490020000000000,4.0,1.0,0.0,0.0,0.0,0.0,230381.4191,294586.294,102.0,102.0,0.19800001060488054,1280.0
bursty-01,bursty,0,1784490025000000000,4.4,1.0,0.0,0.0,0.0,0.0,226491.49245454546,256205.25305,102.0,102.0,0.19786091378936832,1280.0
bursty-01,bursty,0,1784490030000000000,4.4,1.0,0.0,0.0,0.0,0.0,216898.592,264304.8242,102.0,102.0,0.3978089941908002,1280.0
bursty-01,bursty,0,1784490035000000000,4.8,1.0,0.0,0.0,0.0,0.0,196867.80629166667,229222.94994999998,102.0,102.0,0.39750005695182067,1280.0
bursty-01,bursty,0,1784490040000000000,2.8,1.0,0.0,0.0,0.0,0.0,210118.7345,230419.0795,102.0,102.0,0.33156477610142204,1280.0
bursty-02,bursty,0,1784490055000000000,4.8,1.0,0.0,0.0,0.0,0.0,199057.99279166668,226775.37445,102.0,102.0,0.24833793923722536,1284.0
bursty-02,bursty,0,1784490060000000000,4.8,1.0,0.0,0.0,0.0,0.0,189585.28162499997,214115.02385,102.0,102.0,0.3976167157094671,1284.0
bursty-02,bursty,0,1784490065000000000,5.2,1.0,0.0,0.0,0.0,0.0,186401.04596153848,210377.41875,102.0,102.0,0.3967517315528137,1284.0
bursty-02,bursty,0,1784490070000000000,5.0,1.0,0.0,0.0,0.0,0.0,185392.51788,208529.56279999999,102.0,102.0,0.1984686598804053,1284.0
bursty-02,bursty,0,1784490075000000000,5.2,1.0,0.0,0.0,0.0,0.0,182289.76734615385,203465.862,102.0,102.0,0.39665146631752446,1284.0
bursty-02,bursty,0,1784490080000000000,4.4,1.0,0.0,0.0,0.0,0.0,217791.39822727273,261355.10435,102.0,102.0,0.1960474130199457,1284.0
bursty-02,bursty,0,1784490085000000000,4.8,1.0,0.0,0.0,0.0,0.0,196963.47666666668,226655.90809999997,102.0,102.0,0.39726025515988084,1284.0
bursty-02,bursty,0,1784490090000000000,4.8,1.0,0.0,0.0,0.0,0.0,197046.61537500002,225957.58909999998,102.0,102.0,0.19930497313452172,1284.0
bursty-02,bursty,0,1784490095000000000,5.0,1.0,0.0,0.0,0.0,0.0,184965.92331999997,205475.1854,102.0,102.0,0.39746413996656377,1284.0
